idx,model,query,true_level1,true_level2,pred_level1,pred_level2,level1_correct,level2_correct,overall_correct,prompt_lvl_1,prompt_lvl_2
理财,qwen-plus,"用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  ",,,"{
    ""一级意图"": ""理财"",
    ""置信度"": 0.95
}","{
    ""二级意图"": ""理财产品推荐"",
    ""置信度"": 0.95
}",True,True,True,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('理财'), '子意图': '理财产品推荐'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断","你是一个银行客服意图识别专家。

可选的二级意图（子意图）：


用户查询：用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('理财'), '子意图': '理财产品推荐'}


请输出以下格式的JSON：
{
    ""二级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 二级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断"
理财,glm-5,"用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  ",,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('理财'), '子意图': '理财产品推荐'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
理财,kimi-k2.5,"用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  ",,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：推荐个理财  
客服：您偏好保本还是搏高收益？  
用户：想稳点的  
客服：那“安心固收+”适合您，年化3.8%？  
用户：起投多少  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('理财'), '子意图': '理财产品推荐'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
还款追问,qwen-plus,"用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  ",,,"{
    ""一级意图"": ""还款追问"",
    ""置信度"": 0.98
}","{
    ""二级意图"": ""还款类型追问"",
    ""置信度"": 0.98
}",True,True,True,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断","你是一个银行客服意图识别专家。

可选的二级意图（子意图）：


用户查询：用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""二级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 二级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断"
还款追问,glm-5,"用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  ",,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
还款追问,kimi-k2.5,"用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  ",,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：信用卡还款有哪几种方式  
客服：支持自动还款、手动转账和网点现金还款  
用户：自动还款扣哪张卡  
客服：默认扣您尾号8899的借记卡  
用户：那手动还，能还我房贷不  
客服：房贷还款需在“贷款”菜单操作，不在信用卡里  
用户：哦…搞错了  

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
还款追问,qwen-plus,用户：帮我查下信用卡还款类型,,,"{
    ""一级意图"": ""还款追问"",
    ""置信度"": 0.98
}","{
    ""二级意图"": ""还款类型追问"",
    ""置信度"": 0.95
}",True,True,True,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：帮我查下信用卡还款类型

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断","你是一个银行客服意图识别专家。

可选的二级意图（子意图）：


用户查询：用户：帮我查下信用卡还款类型

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""二级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 二级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断"
还款追问,glm-5,用户：帮我查下信用卡还款类型,,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：帮我查下信用卡还款类型

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
还款追问,kimi-k2.5,用户：帮我查下信用卡还款类型,,,,,False,False,False,"你是一个银行客服意图识别专家。

可选的一级意图类别：
  - i豆: 工行i豆积分相关业务
  - 理财: 理财产品推荐购买，用户要办理理财类业务，注意“基金”类不算此类，如果需要生成此意图的对话，则对话中不应提及“基金购买”、“基金推荐”等
  - 薪资服务: 涉及薪资的服务
  - 快速转账: 用户表达转账诉求，或是办理转账的过程中提供必要信息，或是确认、取消转账
  - FAQ: FAQ，用户的服务/业务咨询会触发FAQ，如“XXX的方法”、“什么是XXX”、“介绍一下XXX”，用户提出流程性、政策性、概念性问题
  - 还款追问: 用于处理目的不明确的还款类意图，如“还款”、“还钱”等未知名还款类型的用户请求，当用户明确指出要“还信用卡”、“还贷款”、“还房贷”等时，不属于此意图
  - 其他: 不属于上述意图的金融类意图（但仍然是金融意图，非金融意图属于“默认分类”），注意如果是涉及这些金融业务的咨询或者询问如何操作（例如“手机缴费如何操作?”），应当属于FAQ意图
  - 默认分类: 非金融意图，闲聊

用户查询：用户：帮我查下信用卡还款类型

【外部标注参考】（仅供参考，你仍需独立判断）
标注的意图标签：{'意图': np.str_('还款追问'), '子意图': '还款类型追问'}


请输出以下格式的JSON：
{
    ""一级意图"": ""从上述列表中选择最匹配的一个"",
    ""置信度"": 0.95
}

注意：
1. 一级意图必须从上述列表中精确选择，不要修改名称
2. 置信度范围0-1
3. 只输出JSON，不要有其他文字
4. 如果是多轮对话，判定的是用户最后一轮对话的意图
5. 外部标注结果仅供参考，你仍需根据用户查询内容独立判断",
